polymer,PSMILES,Exp_Tg(K),source,SMILES,tg_range,number of points,reliability,stdev,num_atoms_sidechainfeaturizer_sum,num_atoms_sidechainfeaturizer_mean,num_atoms_sidechainfeaturizer_max,num_atoms_sidechainfeaturizer_min,numsidechainfeaturizer,num_atoms_backbonefeaturizer,numbackbonefeaturizer,num_hbond_donors_fullpolymerfeaturizer,num_hbond_acceptors_fullpolymerfeaturizer,num_rotatable_bonds_fullpolymerfeaturizer,num_rings_fullpolymerfeaturizer,num_non_aromatic_rings_fullpolymerfeaturizer,num_aromatic_rings_fullpolymerfeaturizer,topological_surface_area_fullpolymerfeaturizer,fraction_bicyclic_rings_fullpolymerfeaturizer,num_aliphatic_heterocycles_fullpolymerfeaturizer,slogp_vsa1_fullpolymerfeaturizer,balaban_j_index_fullpolymerfeaturizer,molecular_weight_fullpolymerfeaturizer,sp3_carbon_count_fullpolymerfeaturizer,sp2_carbon_count_fullpolymerfeaturizer,max_estate_index_fullpolymerfeaturizer,smr_vsa5_fullpolymerfeaturizer,fp_density_morgan1_fullpolymerfeaturizer,total_halogens_fullpolymerfeaturizer,fluorine_count_fullpolymerfeaturizer,chlorine_count_fullpolymerfeaturizer,bromine_count_fullpolymerfeaturizer,single_bonds_fullpolymerfeaturizer,double_bonds_fullpolymerfeaturizer,triple_bonds_fullpolymerfeaturizer,bridging_rings_count_fullpolymerfeaturizer,max_ring_size_fullpolymerfeaturizer,heteroatom_density_fullpolymerfeaturizer,heteroatom_count_fullpolymerfeaturizer,heteroatom_distance_mean_fullpolymerfeaturizer,heteroatom_distance_min_fullpolymerfeaturizer,heteroatom_distance_max_fullpolymerfeaturizer,heteroatom_distance_sum_fullpolymerfeaturizer
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(OP(=O)(Oc3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c3ccccc3)c1)C2=O,449.65,GREA,,449.65-449.65,1,black,,6.0,6.0,6.0,6.0,1.0,42.0,1.0,0.0,8.0,8.0,7.0,2.0,5.0,127.35999999999999,0.2857142857142857,2.0,30.218220749825107,1.1990946847921407,626.0879021979999,1.0,45.0,14.613487755702483,0.0,0.5869565217391305,0.0,0.0,0.0,0.0,18.0,6.0,0.0,2.0,6.0,0.2708333333333333,13.0,9.784635374174712,1.4999999999999987,25.808058954962668,763.2015591856275
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Oc3cccc(Oc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)c3)c1)C2=O,484.15,GREA,,484.15-484.15,1,black,,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,7.0,7.0,7.0,2.0,5.0,110.28999999999999,0.2857142857142857,2.0,25.339912437762663,1.0858906863092161,578.111400916,0.0,44.0,13.204116751916404,0.0,0.5227272727272727,0.0,0.0,0.0,0.0,17.0,5.0,0.0,2.0,6.0,0.2391304347826087,11.0,12.332270931587598,2.598076211353316,27.365401414587804,678.2749012373179
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(C(F)(F)F)cc3)c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c1)C2=O,537.15,GREA,,537.15-537.15,1,black,,10.0,10.0,10.0,10.0,1.0,40.0,1.0,0.0,6.0,6.0,7.0,2.0,5.0,108.9,0.2857142857142857,2.0,31.779806218879287,1.360197381597369,662.0854575860001,5.0,43.0,15.559849506453943,6.176298517443475,0.6041666666666666,3.0,3.0,0.0,0.0,20.0,6.0,0.0,2.0,6.0,0.28,14.0,9.246941497782744,1.4999999999999993,23.15970218365918,841.4716762982297
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(Oc4ccc(C56CC7CC(CC(C7)C5)C6)cc4)cc3)c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c1)C2=O,578.15,GREA,,578.15-578.15,1,black,,23.0,23.0,23.0,23.0,1.0,40.0,1.0,0.0,7.0,9.0,12.0,6.0,6.0,118.13,0.4166666666666667,2.0,36.516669172679336,0.9471073865453724,820.2338381540001,11.0,50.0,16.209305116411134,43.939920206952834,0.5737704918032787,0.0,0.0,0.0,0.0,31.0,6.0,0.0,5.0,6.0,0.19047619047619047,12.0,9.501882169030159,1.5000000000000009,23.159702183659174,627.1242231559905
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c1)C2=O,516.15,GREA,,516.15-516.15,1,black,,14.0,14.0,14.0,14.0,1.0,40.0,1.0,0.0,6.0,6.0,7.0,2.0,5.0,108.9,0.2857142857142857,2.0,31.779806218879287,1.4338899404834804,730.0728422139999,9.0,43.0,15.703780439938448,12.35259703488695,0.5576923076923077,6.0,6.0,0.0,0.0,24.0,6.0,0.0,2.0,6.0,0.3148148148148148,17.0,9.07891858551642,1.499999999999999,18.948077373088502,1234.732927630233
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccccc3)c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c1)C2=O,546.15,GREA,,546.15-546.15,1,black,,6.0,6.0,6.0,6.0,1.0,40.0,1.0,0.0,6.0,6.0,7.0,2.0,5.0,108.9,0.2857142857142857,2.0,31.779806218879287,1.3332947037340523,594.098072958,1.0,43.0,15.480118308419176,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,16.0,6.0,0.0,2.0,6.0,0.2391304347826087,11.0,9.638536323632103,1.4999999999999991,23.159702183659178,530.1194977997657
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(S(=O)(=O)c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c1)C2=O,551.15,GREA,,551.15-551.15,1,black,,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,7.0,5.0,6.0,2.0,4.0,125.97,0.3333333333333333,2.0,15.866186530162565,1.3486465153684328,534.052171788,1.0,38.0,13.695859049159916,9.79096695103555,0.6153846153846154,0.0,0.0,0.0,0.0,15.0,7.0,0.0,2.0,6.0,0.2926829268292683,12.0,8.307240124060415,1.499999999999998,17.862206464150756,548.2778481879874
,*C(=O)c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)c1ccccc1N1C(=O)c3ccc(*)cc3C1=O)C2=O,562.15,GREA,,562.15-562.15,1,black,,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,6.0,5.0,6.0,2.0,4.0,108.9,0.3333333333333333,2.0,15.866186530162565,1.42405179256869,498.08518616799995,0.0,38.0,14.046493848330066,0.0,0.5789473684210527,0.0,0.0,0.0,0.0,15.0,6.0,0.0,2.0,6.0,0.25,10.0,6.255470841375161,1.0765253929982737,12.284810028374602,281.4961878618823
,*C(=O)c1ccc2c(c1)C(=O)N(c1ccccc1Cc1ccccc1N1C(=O)c3ccc(*)cc3C1=O)C2=O,558.15,GREA,,558.15-558.15,1,black,,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,5.0,5.0,6.0,2.0,4.0,91.83000000000001,0.3333333333333333,2.0,15.866186530162565,1.3797410199126794,484.105921612,1.0,36.0,13.424239202795022,6.4208216229260096,0.6216216216216216,0.0,0.0,0.0,0.0,15.0,5.0,0.0,2.0,6.0,0.23076923076923078,9.0,6.613811754972913,0.9852382430441655,12.284810028374636,238.09722317902487
,*C(=O)c1ccc2c(c1OCc1ccccc1[N+](=O)[O-])C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(*)c(OCc6ccccc6[N+](=O)[O-])c5C4=O)cc3)cc1)C2=O,471.15,GREA,,471.15-471.15,1,black,,22.0,11.0,11.0,11.0,2.0,39.0,1.0,0.0,12.0,13.0,8.0,2.0,6.0,205.79999999999995,0.25,2.0,30.076775391562713,0.9729466652153365,788.139072208,2.0,57.0,13.90282398478189,13.213763929025836,0.576271186440678,0.0,0.0,0.0,0.0,25.0,7.0,0.0,2.0,6.0,0.29508196721311475,18.0,10.287950695089181,1.4999999999999998,22.78891572772133,1574.0564563486448
,*C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc(*)ccc5n4)cc3)cnc2c1,591.15,GREA,,591.15-591.15,1,black,,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,5.0,3.0,5.0,0.0,5.0,68.63,0.4,2.0,6.06636706846161,1.4755811720316945,360.101111004,0.0,28.0,11.669723372097074,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,6.0,0.23333333333333334,7.0,10.123467447114221,2.598076211353316,20.621590627301288,212.59281638939865
,*C(=O)c1ccc2nc(-c3ccc(-c4nc5ccc(*)cc5nc4-c4ccccc4)cc3)c(-c3ccccc3)nc2c1,598.15,GREA,,598.15-598.15,1,black,,12.0,6.0,6.0,6.0,2.0,30.0,1.0,0.0,5.0,5.0,7.0,0.0,7.0,68.63,0.2857142857142857,2.0,6.06636706846161,1.3818241274466474,512.16371126,0.0,40.0,12.139139589557697,0.0,0.475,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,6.0,0.16666666666666666,7.0,10.103659408430929,2.5980762113533156,20.29162388770303,212.1768475770495
,*C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5ccc(*)cc5nc4-c4ccccc4)cc3)nc2c1,595.65,GREA,,593.15-598.15,2,yellow,3.5355339059327378,12.0,6.0,6.0,6.0,2.0,30.0,1.0,0.0,5.0,5.0,7.0,0.0,7.0,68.63,0.2857142857142857,2.0,6.06636706846161,1.3913921171708115,512.1637112600001,0.0,40.0,12.187935600176658,0.0,0.475,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,6.0,0.16666666666666666,7.0,9.721010524728635,2.598076211353317,19.672315572906005,204.14122101930135
,*C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(c6ccc(-c8nc9cc(*)ccc9nc8-c8ccccc8)cc6)C7=O)cc5C4=O)cc3)nc2c1,528.15,GREA,,528.15-528.15,1,black,,12.0,6.0,6.0,6.0,2.0,60.0,1.0,0.0,10.0,9.0,12.0,2.0,10.0,160.45999999999998,0.3333333333333333,4.0,15.866186530162565,0.7952127587434907,906.2226826799999,0.0,70.0,14.112001853531211,0.0,0.37142857142857144,0.0,0.0,0.0,0.0,19.0,6.0,0.0,4.0,6.0,0.19444444444444445,14.0,15.061491256508027,2.5980762113533147,36.41075393982283,1370.5957043422304
,*C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(Oc4ccc(-c5nc6cc(*)ccc6nc5-c5ccccc5)cc4)cc3)nc2c1,544.15,GREA,,544.15-544.15,1,black,,12.0,6.0,6.0,6.0,2.0,37.0,1.0,0.0,6.0,7.0,8.0,0.0,8.0,77.86,0.25,2.0,10.803230022261658,1.1051433612127324,604.189926008,0.0,47.0,12.188121792918997,0.0,0.46808510638297873,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,6.0,0.16326530612244897,8.0,10.923785355627254,2.598076211353315,22.096379793984354,305.8659899575631
,*C(=O)c1ccc2ncc(-c3ccc(-c4cnc5ccc(*)cc5n4)cc3)nc2c1,591.15,GREA,,591.15-591.15,1,black,,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,5.0,3.0,5.0,0.0,5.0,68.63,0.4,2.0,6.06636706846161,1.5054287334095207,360.101111004,0.0,28.0,11.771916949626581,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,6.0,0.23333333333333334,7.0,9.660953696180176,2.598076211353315,19.61504524593303,202.8800276197837
,*C(=O)c1cccc(C(=O)N(*)c2ccccc2)c1,421.15,GREA,,421.15-421.15,1,black,,6.0,6.0,6.0,6.0,1.0,13.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,37.38,0.0,0.0,5.316788604006331,2.2928780387591408,223.063328528,0.0,17.0,12.417452758881332,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,6.0,0.2631578947368421,5.0,5.132425552389677,1.5000000000000002,8.351646544245034,51.32425552389677
,*C(=O)c1cccc(C(=O)N2CCN(*)CC2)c1,487.65,GREA,,487.65-487.65,1,black,,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,40.620000000000005,0.0,1.0,0.0,2.1323917557536145,216.089877624,5.0,11.0,12.318138699924415,0.0,1.1875,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,6.0,0.3333333333333333,6.0,5.587297206949793,1.5000000000000002,9.3674969975976,83.80945810424689
,*C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)(C(F)(F)F)C(F)(F)F)cc2)C3=O)c1,535.65,GREA,,535.65-535.65,1,black,,8.0,4.0,4.0,4.0,2.0,47.0,1.0,0.0,6.0,7.0,7.0,2.0,5.0,108.9,0.2857142857142857,2.0,15.866186530162565,1.2172894794345457,724.1069056160001,9.0,44.0,14.984633771483182,17.76758750428373,0.5094339622641509,6.0,6.0,0.0,0.0,25.0,6.0,0.0,2.0,6.0,0.2909090909090909,16.0,10.55819518048967,1.8469207090566384,29.101510360243076,1266.9834216587606
,*C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)c1,517.15,GREA,,517.15-517.15,1,black,,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,7.0,7.0,7.0,2.0,5.0,118.13,0.2857142857142857,2.0,20.603049483962614,1.0538864026122141,590.111400916,0.0,45.0,13.391523089760721,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,17.0,6.0,0.0,2.0,6.0,0.23404255319148937,11.0,12.052240802515287,2.5980762113533133,28.161288623535505,662.8732441383409
,*C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(S(=O)(=O)c5ccc(Oc6ccc(N7C(=O)c8ccc(*)cc8C7=O)cc6)cc5)cc4)cc2)C3=O)c1,522.15,GREA,,522.15-522.15,1,black,,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,10.0,11.0,9.0,2.0,7.0,161.49999999999997,0.2222222222222222,2.0,25.339912437762663,0.8212111446766185,822.1308160320001,1.0,60.0,13.516084298647922,9.79096695103555,0.45901639344262296,0.0,0.0,0.0,0.0,21.0,8.0,0.0,2.0,6.0,0.23809523809523808,15.0,14.228962209784056,1.5000000000000002,33.30708892866627,1494.0410320273259
,*C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc(*)cc5C4=O)c2)C3=O)c1,532.65,GREA,,532.65-532.65,1,black,,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,6.0,5.0,6.0,2.0,4.0,108.9,0.3333333333333333,2.0,15.866186530162565,1.3211664407243082,498.08518616799995,0.0,38.0,13.456476210778156,0.0,0.5526315789473685,0.0,0.0,0.0,0.0,15.0,6.0,0.0,2.0,6.0,0.25,10.0,9.07268247906016,2.598076211353316,17.47488439024707,408.2707115577073
,*C(=O)c1ccccc1-c1ccccc1C(=O)N1CCN(*)CC1,466.15,GREA,,466.15-466.15,1,black,,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,40.620000000000005,0.0,1.0,0.0,2.00162658695556,292.121177752,5.0,17.0,13.040212112622825,0.0,0.8636363636363636,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,6.0,0.25,6.0,6.509328084084759,1.4999999999999987,12.816005617976296,97.63992126127138
,*C(=S)Nc1ccc(Oc2ccc(NC(=S)N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,535.15,GREA,,535.15-535.15,1,black,,0.0,0.0,0.0,0.0,0.0,45.0,1.0,2.0,8.0,6.0,6.0,2.0,4.0,125.12,0.3333333333333333,2.0,15.37044016181271,1.1345227023192228,604.051126232,0.0,43.0,13.316439589431067,0.0,0.6511627906976745,0.0,0.0,0.0,0.0,19.0,7.0,0.0,2.0,6.0,0.3111111111111111,14.0,12.018171820697546,1.4999999999999984,26.753523857995038,1093.6536356834768
,*C(=S)Nc1ccc(Oc2ccc(NC(=S)N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,533.15,GREA,,533.15-533.15,1,black,,8.0,4.0,4.0,4.0,2.0,44.0,1.0,2.0,7.0,6.0,6.0,2.0,4.0,108.04999999999998,0.3333333333333333,2.0,15.37044016181271,1.2746213247913645,726.046630932,9.0,41.0,14.948898088960874,17.76758750428373,0.62,6.0,6.0,0.0,0.0,27.0,6.0,0.0,2.0,6.0,0.36538461538461536,19.0,10.675500053194607,1.5000000000000042,25.88805590193845,1825.510509096278
,*C(=S)Nc1ccc(Oc2ccc(NC(=S)n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,538.15,GREA,,538.15-538.15,1,black,,0.0,0.0,0.0,0.0,0.0,37.0,1.0,2.0,9.0,4.0,5.0,0.0,5.0,111.42999999999998,0.4,2.0,37.607507742020736,1.372296351767212,500.0249114839999,0.0,35.0,13.003934866186803,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,9.0,6.0,0.0,2.0,6.0,0.35135135135135137,13.0,9.99740015833334,1.4999999999999987,21.937930935647472,779.7972123500006
,*C(C(=O)OC)C(*)C(=O)OC(C)(C)C,357.15,GREA,,357.15-357.15,1,black,,11.0,5.5,7.0,4.0,2.0,4.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,52.60000000000001,0.0,0.0,0.0,4.385442511971962,186.089208928,7.0,6.0,11.692989890400604,39.21390565590758,1.2307692307692308,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.4,6.0,4.0041009933401925,2.5980762113533156,6.5383484153110105,60.06151490010289
,*C(C)C(*)C(=O)OC(C)C,422.15,GREA,,422.15-422.15,1,black,,6.0,6.0,6.0,6.0,1.0,5.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,3.833361000507157,128.083729624,6.0,3.0,11.275185185185185,39.71682123267219,1.5555555555555556,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.36363636363636365,4.0,3.438901059316734,2.5980762113533156,4.5,20.633406355900405
,*C(C)C(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,467.65,GREA,,467.65-467.65,1,black,,15.0,15.0,15.0,15.0,1.0,5.0,1.0,0.0,2.0,3.0,4.0,4.0,0.0,26.3,0.75,0.0,0.0,1.807347735262407,248.177630008,15.0,3.0,12.558061696900982,77.73883539346365,1.2222222222222223,0.0,0.0,0.0,0.0,21.0,1.0,0.0,3.0,6.0,0.2,4.0,3.7104759334428046,2.5980762113533156,5.19615242270663,22.262855600656827
,*C(C)C(*)C(=O)OC12CC3CC(CC(C3)C1)C2,509.65,GREA,,509.65-509.65,1,black,,13.0,13.0,13.0,13.0,1.0,5.0,1.0,0.0,2.0,3.0,4.0,4.0,0.0,26.3,0.75,0.0,0.0,1.7038989851015085,220.14632988,13.0,3.0,12.349350434618291,63.891360994082405,1.25,0.0,0.0,0.0,0.0,19.0,1.0,0.0,3.0,6.0,0.2222222222222222,4.0,3.710475933442806,2.5980762113533165,5.196152422706633,22.262855600656835
,*C(C)C(*)C(=O)OCC,430.15,GREA,,430.15-430.15,1,black,,5.0,5.0,5.0,5.0,1.0,5.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,3.705193450094498,114.06807956,5.0,3.0,11.064768518518518,26.689117645233267,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.4,4.0,3.438901059316734,2.5980762113533156,4.5,20.633406355900405
,*C(C)C(*)C(=O)OCCC,389.15,GREA,,389.15-389.15,1,black,,6.0,6.0,6.0,6.0,1.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,3.6443426971349204,128.083729624,6.0,3.0,11.223657407407408,33.10993926815928,1.8888888888888888,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.36363636363636365,4.0,3.438901059316734,2.5980762113533156,4.5,20.633406355900405
,*C(C)C(*)C(=O)OCCCC,363.15,GREA,,363.15-363.15,1,black,,7.0,7.0,7.0,7.0,1.0,5.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,3.572603175754077,142.099379688,7.0,3.0,11.339587112622826,39.53076089108528,1.8,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.3333333333333333,4.0,3.4389010593167337,2.5980762113533156,4.5,20.6334063559004
,*C(CC(C)C)C(=O)Nc1ccc(Oc2ccc(NC(=O)NCC3(C)CC(NC(=O)Nc4ccc(Oc5ccc(NC(=O)C(CC(C)C)n6c(=O)c7cc8c(=O)n(*)c(=O)c8cc7c6=O)cc5)cc4)CC(C)(C)C3)cc2)cc1,420.65,GREA,,420.65-420.65,1,black,,8.0,4.0,4.0,4.0,2.0,70.0,1.0,6.0,12.0,18.0,8.0,1.0,7.0,237.05999999999997,0.25,2.0,63.611525111846106,0.7947558318271147,1030.4588901840002,20.0,56.0,13.809749783010403,99.07477179368634,0.5789473684210527,0.0,0.0,0.0,0.0,39.0,8.0,0.0,2.0,6.0,0.2564102564102564,20.0,16.1327613616658,1.5000000000000022,34.23691246340233,3065.2246587165023
,*C(CC(C)C)C(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3ccc(Cc4ccc(NC(=O)Nc5ccc(Oc6ccc(NC(=O)C(CC(C)C)n7c(=O)c8cc9c(=O)n(*)c(=O)c9cc8c7=O)cc6)cc5)cc4)cc3)cc2)cc1,454.55,GREA,,454.55-454.55,1,black,,8.0,4.0,4.0,4.0,2.0,73.0,1.0,6.0,12.0,19.0,9.0,0.0,9.0,237.05999999999997,0.2222222222222222,2.0,63.611525111846106,0.7013972862493344,1058.396289928,11.0,68.0,13.771183961126889,59.42007611961449,0.43037974683544306,0.0,0.0,0.0,0.0,31.0,8.0,0.0,2.0,6.0,0.24691358024691357,20.0,13.453510278618088,1.4999999999999996,30.14687851815191,2556.1669529374367
,*C(CC)COC(=O)NCCCCCCNC(=O)OCC(CC)n1c(=O)c2cc3c(=O)n(*)c(=O)c3cc2c1=O,334.15,GREA,,334.15-334.15,1,black,,4.0,2.0,2.0,2.0,2.0,36.0,1.0,2.0,10.0,14.0,3.0,0.0,3.0,154.79999999999998,0.6666666666666666,2.0,32.870644788220694,1.4426099797823126,528.222013984,14.0,24.0,13.077206149047356,64.83506658901128,0.7894736842105263,0.0,0.0,0.0,0.0,22.0,6.0,0.0,2.0,6.0,0.35,14.0,12.468704715650194,1.500000000000002,30.067652698035065,1134.6521291241677
,*C(F)(F)C(*)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,505.65,GREA,,505.65-505.65,1,black,,16.0,16.0,16.0,16.0,1.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.370990656665333,349.97764508,21.0,0.0,13.419907879818595,42.46353533019127,0.42857142857142855,14.0,14.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.6956521739130435,16.0,4.66204970283609,1.0307321340687874,10.606601717798215,559.4459643403309
,*C(F)(F)C(*)(F)C(F)(F)F,431.65,GREA,,431.65-431.65,1,black,,4.0,4.0,4.0,4.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.748408577925169,149.99041932,9.0,0.0,12.402777777777779,18.773418657812957,0.8888888888888888,6.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.7272727272727273,8.0,2.953709810841733,1.0307321340687845,4.743416490252569,82.70387470356852
,*C(F)(F)C(*)(F)Cl,325.25,GREA,,325.25-325.25,1,black,,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.020391543176799,115.96406234,6.0,0.0,12.084876543209877,12.056301962413816,1.5,4.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.75,6.0,2.8073262114491127,1.5,4.5,42.10989317173669
,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,263.15,GREA,,263.15-263.15,1,black,,14.0,14.0,14.0,14.0,1.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,5.713656967485763,315.97575326000003,19.0,0.0,13.169907879818595,36.91312684527051,0.631578947368421,12.0,12.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.7142857142857143,15.0,4.666338448943988,1.0980762113533147,10.849937473105536,489.9655371391188
,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,302.15,GREA,,302.15-302.15,1,black,,8.0,8.0,8.0,8.0,1.0,7.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,4.8939940985988395,215.98214038,13.0,0.0,12.844652777777778,25.068068509081353,0.8461538461538461,8.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.7333333333333333,11.0,3.78557605601967,1.0980762113533147,7.850648756770351,208.20668308108185
,*C(F)(F)C(*)(F)OC(F)(F)F,268.15,GREA,,268.15-268.15,1,black,,5.0,5.0,5.0,5.0,1.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,4.443936877285596,165.98533394,10.0,0.0,12.574652777777779,19.145539340986776,1.0,6.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.75,9.0,3.3678161771379367,1.098076211353315,6.351256353519348,121.24138237696572
,*C(F)(F)C(*)(F)OC(F)C(F)F,308.15,GREA,,308.15-308.15,1,black,,6.0,6.0,6.0,6.0,1.0,7.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,4.34054855700649,180.000984004,11.0,0.0,12.836111111111112,25.566360963912786,1.1818181818181819,6.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.6923076923076923,9.0,3.845319330483814,1.5000000000000004,7.265963709932768,138.4314958974173
,*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,467.15,GREA,,467.15-467.15,1,black,,11.0,11.0,11.0,11.0,1.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.722974655985802,247.98722576,10.0,6.0,13.830740740740739,12.597120140369483,0.6875,8.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.5555555555555556,10.0,4.378942160434469,1.0109017087561138,7.6485292703891785,197.0523972195511
,*C(F)(F)C(*)(F)c1ccccc1,479.15,GREA,,479.15-479.15,1,black,,6.0,6.0,6.0,6.0,1.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0842959757292783,158.03433482,5.0,6.0,13.75314814814815,12.597120140369483,1.0909090909090908,3.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.38461538461538464,5.0,2.8933373636900996,1.4999999999999984,4.4999999999999964,28.933373636900996
