polymer,PSMILES,Exp_Tg(K),source,SMILES,tg_range,number of points,reliability,stdev,dp_2,nconf20_2,rotatable_bonds,num_rings,num_aromatic_rings,num_non_aromatic_rings,hbond_acceptors,hbond_donors,n_sc,len_sc,min_length_sc,max_length_sc,mean_length_sc,n_bb,len_bb,min_length_bb,max_length_bb,mean_length_bb,fingerprint,cluster_label,Source
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Oc3cccc(Oc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)c3)c1)C2=O,484.15,GREA,,484.15-484.15,1,black,,Cc1ccc2c(c1)C(=O)N(c1cccc(Oc3cccc(Oc4cccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(c7cccc(Oc9cccc(Oc%10cccc(N%11C(=O)c%12ccc(C(=O)C)cc%12C%11=O)c%10)c9)c7)C8=O)cc6C5=O)c4)c3)c1)C2=O,377.0,15,14,10,4,14,0,0,,0,0,0.0,1,[46],46,46,46.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d5fba0>,0,cluster_0
,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(-c4ccc(C(*)=O)c(C)c4)cc3C)cc2)(C(F)(F)F)C(F)(F)F)cc1,562.15,GREA,,562.15-562.15,1,black,,CC(=O)c1ccc(-c2ccc(C(=O)Nc3ccc(C(c4ccc(NC(=O)c5ccc(-c6ccc(C(=O)Nc7ccc(C(c8ccc(NC)cc8)(C(F)(F)F)C(F)(F)F)cc7)c(C)c6)cc5C)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C)c2)cc1C,481.0,14,8,8,0,5,4,1,[9],9,9,9.0,1,[35],35,35,35.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d05900>,1,cluster_1
,*C(=O)Nc1cc(NC(=O)c2cncc(*)c2)cc(-c2nnc(-c3ccccn3)o2)c1,458.15,GREA,,458.15-458.15,1,black,,Cc1cncc(C(=O)Nc2cc(NC(=O)c3cncc(C(=O)Nc4cc(NC(=O)C)cc(-c5nnc(-c6ccccn6)o5)c4)c3)cc(-c3nnc(-c4ccccn4)o3)c2)c1,299.0,11,8,8,0,14,4,1,[12],12,12,12.0,1,[20],20,20,20.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575cf7e40>,1,cluster_1
,*Oc1cccc(NC(=O)c2ccc(C(=O)Nc3ccc(*)cc3)cc2)c1,553.15,GREA,,553.15-553.15,1,black,,Cc1ccc(NC(=O)c2ccc(C(=O)Nc3cccc(Oc4ccc(NC(=O)c5ccc(C(=O)Nc6cccc(OC)c6)cc5)cc4)c3)cc2)cc1,144.0,11,6,6,0,6,4,0,,0,0,0.0,1,[27],27,27,27.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d3e580>,1,cluster_1
Polyetherimide 2,*OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))*,482.0,Schrodinger,,482.0-482.0,1,black,,Cc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc(Oc5ccc(Sc6ccc(Oc7ccc8c(c7)C(=O)N(c7cccc(N9C(=O)c%10ccc(Oc%11ccc(Sc%12ccc(OC)cc%12)cc%11)cc%10C9=O)c7)C8=O)cc6)cc5)cc4C3=O)c1)C2=O,479.0,15,14,10,4,14,0,0,,0,0,0.0,1,[45],45,45,45.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dc80b0>,0,cluster_0
,*Oc1cccc(Oc2cccc(OC(*)=O)c2)c1,344.15,GREA,,344.15-344.15,1,black,,CC(=O)Oc1cccc(Oc2cccc(OC(=O)Oc3cccc(Oc4cccc(OC)c4)c3)c2)c1,172.0,8,4,4,0,8,0,0,,0,0,0.0,1,[19],19,19,19.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d3f740>,1,cluster_1
,*Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc(C(=O)c7ccc(*)cc7)cc6)cc5)cc4)cc3)c3ccccc3-c3ccccc32)cc1,504.15,GREA,,504.15-504.15,1,black,,Cc1ccc(C(=O)c2ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc(C(=O)c9ccc(Oc%10ccc(C(=O)c%11ccc(Oc%12ccc(C%13(c%14ccc(OC)cc%14)c%14ccccc%14-c%14ccccc%14%13)cc%12)cc%11)cc%10)cc9)cc8)cc7)c7ccccc7-c7ccccc76)cc5)cc4)cc3)cc2)cc1,297.0,23,18,16,2,10,0,2,"[6, 6]",6,6,6.0,1,[50],50,50,50.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d305f0>,1,cluster_1
,*c1ccc(-c2nc3ccc(-c4ccc5nc(*)c(-c6ccccc6)nc5c4)cc3nc2-c2ccccc2)cc1,628.15,GREA,,592.15-664.65,3,gold,36.25258611464843,Cc1nc2ccc(-c3ccc4nc(-c5ccc(-c6nc7ccc(-c8ccc9nc(-c%10ccc(C)cc%10)c(-c%10ccccc%10)nc9c8)cc7nc6-c6ccccc6)cc5)c(-c5ccccc5)nc4c3)cc2nc1-c1ccccc1,94.0,9,14,14,0,8,0,2,"[7, 7]",7,7,7.0,1,[28],28,28,28.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d4bba0>,1,cluster_1
,*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6C5=O)cc4)cc3)cc2)cc1,483.15,GREA,,483.15-483.15,1,black,,CN1C(=O)c2ccc(Oc3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(Oc7ccc(Oc8ccc(N9C(=O)c%10ccc(Oc%11ccc(Oc%12ccc%13c(c%12)C(=O)N(c%12ccc(Oc%14ccc(Oc%15ccc(Oc%16ccc(C)cc%16)cc%15)cc%14)cc%12)C%13=O)cc%11)cc%10C9=O)cc8)cc7)cc6)cc4)C5=O)cc3)cc2C1=O,35.0,23,18,14,4,18,0,0,,0,0,0.0,1,[59],59,59,59.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575cde970>,0,cluster_0
,*C(=O)Nc1ccc(Oc2c(C)cc(C(C)(C)c3cc(C)c(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(C8(c9ccc(Oc%10ccc(N%11C(=O)c%12ccc(*)cc%12C%11=O)cc%10)cc9)CC9CC8C8CCCC98)cc7)cc5)C6=O)cc4)c(C)c3)cc2C)cc1,549.15,GREA,,549.15-549.15,1,black,,Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C4(c5ccc(Oc6ccc(N7C(=O)c8ccc(C(=O)Nc9ccc(Oc%10c(C)cc(C(C)(C)c%11cc(C)c(Oc%12ccc(NC(=O)c%13ccc%14c(c%13)C(=O)N(c%13ccc(Oc%15ccc(C%16(c%17ccc(Oc%18ccc(N%19C(=O)c%20ccc(C(=O)Nc%21ccc(Oc%22c(C)cc(C(C)(C)c%23cc(C)c(Oc%24ccc(NC(=O)C)cc%24)c(C)c%23)cc%22C)cc%21)cc%20C%19=O)cc%18)cc%17)CC%17CC%16C%16CCCC%17%16)cc%15)cc%13)C%14=O)cc%12)c(C)c%11)cc%10C)cc9)cc8C7=O)cc6)cc5)CC5CC4C4CCCC54)cc3)cc1)C2=O,1.0,35,30,20,10,20,4,2,"[3, 5]",3,5,4.0,1,[95],95,95,95.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dd2cf0>,0,cluster_0
,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6cccc(-c7nc(*)c(-c8ccccc8)[nH]7)c6)[nH]c5-c5ccccc5)cc4)cc3)cc2)cc1,565.15,GREA,,565.15-565.15,1,black,,Cc1nc(-c2cccc(-c3nc(-c4ccc(Oc5ccc(S(=O)(=O)c6ccc(Oc7ccc(-c8nc(-c9cccc(-c%10nc(-c%11ccc(Oc%12ccc(S(=O)(=O)c%13ccc(Oc%14ccc(C)cc%14)cc%13)cc%12)cc%11)c(-c%11ccccc%11)[nH]%10)c9)[nH]c8-c8ccccc8)cc7)cc6)cc5)cc4)c(-c4ccccc4)[nH]3)c2)[nH]c1-c1ccccc1,45.0,23,18,18,0,12,4,2,"[7, 7]",7,7,7.0,1,[47],47,47,47.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575cdf3c0>,1,cluster_1
,*Nc1cccc2c(NC(=O)c3ccc(NC(=O)c4ccc([Si](C)(C)c5ccc(C(=O)Nc6ccc(C(*)=O)cc6)cc5)cc4)cc3)cccc12,651.15,GREA,,651.15-651.15,1,black,,CC(=O)c1ccc(NC(=O)c2ccc([Si](C)(C)c3ccc(C(=O)Nc4ccc(C(=O)Nc5cccc6c(NC(=O)c7ccc(NC(=O)c8ccc([Si](C)(C)c9ccc(C(=O)Nc%10ccc(C(=O)Nc%11cccc%12c(NC)cccc%11%12)cc%10)cc9)cc8)cc7)cccc56)cc4)cc3)cc2)cc1,133.0,20,12,12,0,9,8,0,,0,0,0.0,1,[51],51,51,51.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d95580>,1,cluster_1
,*c1ccc(Cc2ccc(N3C(=O)C(Cl)=C(Oc4ccc(C(c5ccc(OC6=C(Cl)C(=O)N(*)C6=O)cc5)(C(F)(F)F)C(F)(F)F)cc4)C3=O)cc2)cc1,462.15,GREA,,462.15-462.15,1,black,,CN1C(=O)C(Cl)=C(Oc2ccc(C(c3ccc(OC4=C(Cl)C(=O)N(c5ccc(Cc6ccc(N7C(=O)C(Cl)=C(Oc8ccc(C(c9ccc(OC%10=C(Cl)C(=O)N(c%11ccc(Cc%12ccc(C)cc%12)cc%11)C%10=O)cc9)(C(F)(F)F)C(F)(F)F)cc8)C7=O)cc6)cc5)C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc2)C1=O,348.0,19,12,8,4,12,0,1,[9],9,9,9.0,1,[46],46,46,46.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d50740>,0,cluster_0
,*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,535.15,GREA,,535.15-535.15,1,black,,CN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N(c8ccc(S(=O)(=O)c%10ccc(C)cc%10)cc8)C9=O)cc7C6=O)cc5)cc3)C4=O)cc2C1=O,186.0,11,12,8,4,14,0,0,,0,0,0.0,1,[40],40,40,40.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce1c80>,0,cluster_0
,*Nc1ccc(C(c2ccc(NC(=O)c3cc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc(C(*)=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,638.15,GREA,,638.15-638.15,1,black,,CC(=O)c1cc(NC(=O)C23CC4CC(CC(C4)C2)C3)cc(C(=O)Nc2ccc(C(c3ccc(NC(=O)c4cc(NC(=O)C56CC7CC(CC(C7)C5)C6)cc(C(=O)Nc5ccc(C(c6ccc(NC)cc6)(C(F)(F)F)C(F)(F)F)cc5)c4)cc3)(C(F)(F)F)C(F)(F)F)cc2)c1,371.0,16,14,6,8,7,6,2,"[9, 14]",9,14,11.5,1,[27],27,27,27.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d057b0>,1,cluster_1
,[*]C1=CC=C(C2=O)C(C(N2C3=CC=CC(C(C4=CC=CC(N5C(C6=CC=C(O[*])C=C6C5=O)=O)=C4)=O)=C3)=O)=C1,512.15,Qiu,,508.15-516.15,3,gold,4.0,COc1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(c6cccc(C(=O)c8cccc(N9C(=O)c%10ccc(C)cc%10C9=O)c8)c6)C7=O)cc5C4=O)c3)c1)C2=O,451.0,11,12,8,4,12,0,0,,0,0,0.0,1,[39],39,39,39.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dd1c80>,0,cluster_0
,*c1ccc(Oc2ccccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,514.15,GREA,,514.15-514.15,1,black,,CN1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5Oc5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccccc%10Oc%10ccc(C)cc%10)cc8)C9=O)cc7C6=O)cc5)cc3)C4=O)cc2C1=O,425.0,13,14,10,4,12,0,0,,0,0,0.0,1,[44],44,44,44.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce1430>,0,cluster_0
,*c1ccc(-c2ccc(C(*)(C(F)(F)F)C(F)(F)F)cc2)cc1,537.15,GREA,,537.15-537.15,1,black,,CC(c1ccc(-c2ccc(C(c3ccc(-c4ccc(C)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1)(C(F)(F)F)C(F)(F)F,74.0,5,4,4,0,0,0,1,[9],9,9,9.0,1,[15],15,15,15.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d49c80>,1,cluster_1
,*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(-c4ccc(S(=O)(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,524.15,GREA,,524.15-524.15,1,black,,Cc1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(Oc5ccc(Oc6ccc(S(=O)(=O)c7ccc(-c8ccc(S(=O)(=O)c9ccc(Oc%10ccc(OC)cc%10)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,345.0,17,10,10,0,12,0,0,,0,0,0.0,1,[40],40,40,40.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d099e0>,1,cluster_1
,*CCCCCCCCCCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,458.15,GREA,,458.15-458.15,1,black,,Cc1ccc(-c2c(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccc(CCCCCCCCCCCCCCc6ccc(-c7c(-c8ccccc8)cc(-c8ccc(-c9cc(-c%10ccccc%10)c(-c%10ccc(CCCCCCCCCCCCCCC)cc%10)c(-c%10ccccc%10)c9-c9ccccc9)cc8)c(-c8ccccc8)c7-c7ccccc7)cc6)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,1.0,49,22,22,0,0,0,6,"[7, 7, 7, 7, 7, 7]",7,7,7.0,1,[46],46,46,46.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d77ba0>,1,cluster_1
,*c1ccc(Oc2cccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)c2)cc1,559.15,GREA,,559.15-559.15,1,black,,CN1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3cccc(Oc5ccc(N6C(=O)c7cccc(-c8ccc9c(c8)C(=O)N(c8cccc(Oc%10ccc(C)cc%10)c8)C9=O)c7C6=O)cc5)c3)C4=O)c2C1=O,170.0,9,12,8,4,10,0,0,,0,0,0.0,1,[37],37,37,37.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce02e0>,0,cluster_0
,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc3c(c1)Cc1cc(N4C(=O)c5ccc(*)cc5C4=O)ccc1-3)C2=O,614.65,GREA,,614.65-614.65,1,black,,Cc1ccc2c(c1)C(=O)N(c1ccc3c(c1)Cc1cc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(c6ccc8c(c6)Cc6cc(N9C(=O)c%10ccc(C(=O)C)cc%10C9=O)ccc6-8)C7=O)cc5C4=O)ccc1-3)C2=O,92.0,7,14,8,6,10,0,0,,0,0,0.0,1,[39],39,39,39.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d5edd0>,0,cluster_0
,*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1-c1ccccc1,430.15,GREA,,430.15-430.15,1,black,,Cc1ccc(C(=O)c2ccc(Oc3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc(OC)c(-c7ccccc7)c6)cc5)cc4)c(-c4ccccc4)c3)cc2)cc1,322.0,13,8,8,0,6,0,1,[7],7,7,7.0,1,[24],24,24,24.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d07dd0>,1,cluster_1
,*c1cccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4cccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)c4)cc3)cc2)c1,526.15,GREA,,526.15-526.15,1,black,,CN1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3cccc(C(=O)Nc5ccc(Oc6ccc(NC(=O)c7cccc(N8C(=O)c9ccc(-c%10ccc%11c(c%10)C(=O)N(c%10cccc(C(=O)Nc%12ccc(Oc%13ccc(NC(=O)c%14cccc(C)c%14)cc%13)cc%12)c%10)C%11=O)cc9C8=O)c7)cc6)cc5)c3)C4=O)cc2C1=O,257.0,17,16,12,4,14,4,0,,0,0,0.0,1,[55],55,55,55.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce9dd0>,0,cluster_0
,*c1ccc(N/C=N/c2ccc(S(*)(=O)=O)cc2)cc1,436.15,GREA,,436.15-436.15,1,black,,CS(=O)(=O)c1ccc(/N=C/Nc2ccc(S(=O)(=O)c3ccc(/N=C/Nc4ccc(C)cc4)cc3)cc2)cc1,6.0,9,4,4,0,6,2,0,,0,0,0.0,1,[20],20,20,20.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d51ba0>,1,cluster_1
,*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)cc1C)C2=O,539.15,GREA,,539.15-539.15,1,black,,Cc1cc(C(c2ccc(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5ccc(C(c7ccc(C)c(N8C(=O)c9ccc(C(C)(C(F)(F)F)C(F)(F)F)cc9C8=O)c7)(C(F)(F)F)C(F)(F)F)cc5C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1N1C(=O)c2ccc(C)cc2C1=O,499.0,11,12,8,4,8,0,2,"[9, 9]",9,9,9.0,1,[40],40,40,40.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce46d0>,0,cluster_0
,*Oc1c(C)cc(C2(c3cc(C)c(Oc4ccc(C(=O)c5ccc(*)cc5)cc4)c(C)c3)CCC3CCCCC3C2)cc1C,524.15,GREA,,524.15-524.15,1,black,,Cc1ccc(C(=O)c2ccc(Oc3c(C)cc(C4(c5cc(C)c(Oc6ccc(C(=O)c7ccc(Oc8c(C)cc(C9(c%10cc(C)c(OC)c(C)c%10)CCC%10CCCCC%10C9)cc8C)cc7)cc6)c(C)c5)CCC5CCCCC5C4)cc3C)cc2)cc1,229.0,15,12,8,4,6,0,1,[6],6,6,6.0,1,[40],40,40,40.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d23200>,1,cluster_1
,*c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc1O)C2=O,597.15,GREA,,597.15-597.15,1,black,,CC(c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5cc(N7C(=O)c8ccc(C)cc8C7=O)c(O)cc5O)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc1O)C2=O)(C(F)(F)F)C(F)(F)F,340.0,7,10,6,4,12,4,1,[9],9,9,9.0,1,[33],33,33,33.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce3820>,0,cluster_0
,*Nc1cc(NC(=O)c2cc(OCCN(C)c3ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc3)cc(C(*)=O)c2)cc(C(=O)OCCN(C)c2ccc(C#N)cc2)c1,430.15,GREA,,430.15-430.15,1,black,,CC(=O)c1cc(OCCN(C)c2ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc(C(=O)Nc2cc(NC(=O)c3cc(OCCN(C)c4ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc4)cc(C(=O)Nc4cc(NC)cc(C(=O)OCCN(C)c5ccc(C#N)cc5)c4)c3)cc(C(=O)OCCN(C)c3ccc(C#N)cc3)c2)c1,1.0,44,8,8,0,21,4,2,"[40, 16]",16,40,28.0,1,[20],20,20,20.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d03970>,1,cluster_1
,O=C(C1=CC=C([*])C=C12)N(C3=CC=C(C(C4=CC=C(N5C(C6=CC(O[*])=CC=C6C5=O)=O)C=C4)=O)C=C3)C2=O,547.15,Qiu,,547.15-547.15,1,black,,COc1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(c6ccc(C(=O)c8ccc(N9C(=O)c%10ccc(C)cc%10C9=O)cc8)cc6)C7=O)cc5C4=O)cc3)cc1)C2=O,218.0,11,12,8,4,12,0,0,,0,0,0.0,1,[39],39,39,39.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dcbc10>,0,cluster_0
,O=C(N1C2=CC=C(CC3=CC=C(N4C(C(OC5=CC=C([*])C=C5)=C(Cl)C4=O)=O)C=C3)C=C2)C(Cl)=C([*])C1=O,465.15,Qiu,,465.15-465.15,1,black,,CC1=C(Cl)C(=O)N(c2ccc(Cc3ccc(N4C(=O)C(Cl)=C(Oc5ccc(C6=C(Cl)C(=O)N(c7ccc(Cc8ccc(N9C(=O)C(Cl)=C(Oc%10ccc(C)cc%10)C9=O)cc8)cc7)C6=O)cc5)C4=O)cc3)cc2)C1=O,317.0,13,10,6,4,10,0,0,,0,0,0.0,1,[38],38,38,38.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dcf120>,0,cluster_0
,*c1ccc(CC(=O)Nc2ccc(Cc3ccc(NC(=O)Cc4ccc(-c5sc(*)c(-c6ccccc6)c5-c5ccccc5)cc4)cc3)cc2)cc1,500.15,GREA,,500.15-500.15,1,black,,Cc1sc(-c2ccc(CC(=O)Nc3ccc(Cc4ccc(NC(=O)Cc5ccc(-c6sc(-c7ccc(CC(=O)Nc8ccc(Cc9ccc(NC(=O)Cc%10ccc(C)cc%10)cc9)cc8)cc7)c(-c7ccccc7)c6-c6ccccc6)cc5)cc4)cc3)cc2)c(-c2ccccc2)c1-c1ccccc1,2.0,23,14,14,0,6,4,2,"[7, 7]",7,7,7.0,1,[40],40,40,40.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d4fe40>,1,cluster_1
,*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,477.15,GREA,,477.15-477.15,1,black,,CN1C(=O)c2ccc(Oc3ccccc3Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(-c6ccc(Oc7ccc(N8C(=O)c9ccc(Oc%10ccccc%10Oc%10ccc%11c(c%10)C(=O)N(c%10ccc(Oc%12ccc(-c%13ccc(Oc%14ccc(C)cc%14)cc%13)cc%12)cc%10)C%11=O)cc9C8=O)cc7)cc6)cc5)cc3)C4=O)cc2C1=O,81.0,21,18,14,4,16,0,0,,0,0,0.0,1,[58],58,58,58.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d563c0>,0,cluster_0
,*C(=O)Oc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,505.15,GREA,,505.15-505.15,1,black,,Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(=O)Oc6ccc(-c7ccc(OC(=O)c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc(N%11C(=O)c%12ccc(C(=O)Oc%13ccc(-c%14ccc(OC(=O)C)cc%14)cc%13)cc%12C%11=O)cc%10)cc8)C9=O)cc7)cc6)cc5C4=O)cc3)cc1)C2=O,14.0,17,16,12,4,18,0,0,,0,0,0.0,1,[55],55,55,55.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dd8b30>,0,cluster_0
,*Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)c5cccc(C(=O)c6ccc(*)cc6)c5)cc4)cc3)c3ccccc3-c3ccccc32)cc1,496.15,GREA,,496.15-496.15,1,black,,Cc1ccc(C(=O)c2cccc(C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(C(=O)c8cccc(C(=O)c9ccc(Oc%10ccc(C%11(c%12ccc(OC)cc%12)c%12ccccc%12-c%12ccccc%12%11)cc%10)cc9)c8)cc7)cc6)c6ccccc6-c6ccccc65)cc4)cc3)c2)cc1,480.0,19,16,14,2,8,0,2,"[6, 6]",6,6,6.0,1,[43],43,43,43.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d30820>,1,cluster_1
,*Oc1ccc(-c2ccc(NC(=O)c3cc(C(=O)Nc4ccc(-c5ccc(Oc6ccc(C(C)(C)c7ccc(*)cc7)cc6)c(C(F)(F)F)c5)cc4)cc(C(C)(C)C)c3)cc2)cc1C(F)(F)F,521.65,GREA,,521.65-521.65,1,black,,Cc1ccc(C(C)(C)c2ccc(Oc3ccc(-c4ccc(NC(=O)c5cc(C(=O)Nc6ccc(-c7ccc(Oc8ccc(C(C)(C)c9ccc(Oc%10ccc(-c%11ccc(NC(=O)c%12cc(C(=O)Nc%13ccc(-c%14ccc(OC)c(C(F)(F)F)c%14)cc%13)cc(C(C)(C)C)c%12)cc%11)cc%10C(F)(F)F)cc9)cc8)c(C(F)(F)F)c7)cc6)cc(C(C)(C)C)c5)cc4)cc3C(F)(F)F)cc2)cc1,1.0,23,14,14,0,8,4,3,"[5, 5, 5]",5,5,5.0,1,[55],55,55,55.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d254a0>,1,cluster_1
